# x, y,prediction 1,prediction 2, prediction 3
0.24,2.93,4.20,1.88,10.66
0.32,1.61,3.67,1.36,10.32
0.84,-7.89,1.24,-8.06,1.18
0.10,2.86,3.38,2.21,10.56
0.95,-10.89,0.38,-11.40,-2.31
0.36,1.38,4.72,1.02,10.06
0.91,-9.49,0.78,-10.14,-0.98
0.51,0.27,3.60,-0.94,8.33
0.28,2.15,3.03,1.66,10.53
0.62,-2.42,2.62,-2.90,6.43
0.22,2.44,3.33,1.96,10.69
0.69,-3.09,3.14,-4.22,5.12
0.39,1.53,4.46,0.71,9.81
0.81,-6.35,2.20,-7.27,2.00
0.77,-5.20,2.59,-6.16,3.14
0.67,-2.90,2.47,-3.89,5.44
0.85,-8.20,0.08,-8.38,0.85
0.12,3.12,2.63,2.21,10.64
0.48,0.72,3.89,-0.50,8.73
0.06,2.56,2.37,2.18,10.42
0.16,3.27,2.97,2.15,10.72
0.82,-6.63,1.99,-7.55,1.71
0.53,-0.92,3.80,-1.22,8.06
0.60,-1.35,3.01,-2.40,6.92
0.66,-2.83,2.30,-3.64,5.69
0.54,-1.04,4.10,-1.37,7.92
0.81,-6.74,2.28,-7.22,2.06
0.42,1.10,4.73,0.37,9.52
0.98,-11.60,-1.37,-12.30,-3.26
0.79,-5.70,2.15,-6.70,2.59
0.87,-7.91,1.14,-8.99,0.21
0.48,0.85,4.55,-0.40,8.82
0.25,2.15,2.94,1.79,10.61
0.62,-1.96,2.58,-2.74,6.59
0.60,-1.83,2.14,-2.41,6.91
0.29,2.58,4.62,1.58,10.48
0.83,-7.27,1.58,-7.90,1.35
0.08,2.53,2.76,2.20,10.49
0.46,0.32,3.93,-0.23,8.98
0.86,-8.00,0.17,-8.50,0.73
0.48,0.65,2.59,-0.52,8.72
0.26,2.36,3.92,1.78,10.61
0.44,0.83,3.78,0.13,9.30
0.53,-0.13,3.46,-1.14,8.14
0.68,-3.50,2.81,-4.14,5.19
0.71,-4.34,2.62,-4.65,4.67
0.41,1.51,4.61,0.49,9.62
0.41,0.83,4.18,0.48,9.61
0.27,2.13,3.52,1.69,10.55
0.89,-8.98,0.26,-9.37,-0.18
0.60,-1.70,3.70,-2.37,6.95
0.18,2.33,2.99,2.10,10.73
0.58,-1.41,3.64,-2.13,7.18
0.01,2.03,3.01,2.02,10.04
0.31,2.05,3.82,1.39,10.35
0.07,3.05,3.33,2.19,10.47
0.76,-5.60,1.02,-5.95,3.36
0.59,-1.25,2.93,-2.28,7.04
0.69,-3.18,1.55,-4.32,5.01
0.83,-7.52,1.77,-7.85,1.40
0.81,-6.71,1.39,-7.29,1.98
0.30,1.91,4.05,1.45,10.39
0.30,2.28,4.66,1.47,10.41
0.48,0.03,3.59,-0.48,8.75
0.21,2.48,4.31,2.02,10.71
0.33,1.58,3.53,1.28,10.27
0.29,2.31,3.85,1.59,10.49
0.50,0.24,4.20,-0.71,8.54
0.55,-0.45,3.32,-1.49,7.80
0.59,-1.46,3.41,-2.30,7.01
0.44,0.39,3.38,0.04,9.22
0.44,1.10,4.67,0.05,9.23
0.50,-0.42,3.43,-0.72,8.53
0.61,-1.64,2.02,-2.55,6.77
0.62,-1.87,3.17,-2.80,6.52
0.65,-3.03,2.66,-3.39,5.94
0.64,-2.93,3.02,-3.21,6.12
0.47,0.59,3.32,-0.36,8.86
0.70,-3.53,3.30,-4.41,4.93
0.78,-5.58,2.11,-6.47,2.83
0.33,1.93,4.76,1.25,10.25
0.23,2.75,3.41,1.94,10.69
0.74,-4.75,1.45,-5.54,3.78
0.83,-7.35,0.92,-7.74,1.51
0.61,-2.28,3.66,-2.55,6.77
0.79,-5.87,1.09,-6.82,2.46
0.43,1.39,3.35,0.22,9.39
0.98,-11.82,-1.06,-12.27,-3.22
0.96,-11.14,0.30,-11.69,-2.62
0.40,1.10,3.48,0.59,9.70
0.98,-11.81,-1.23,-12.33,-3.29
0.54,-0.79,4.08,-1.35,7.94
0.54,-0.99,2.72,-1.34,7.94
0.30,2.16,3.50,1.46,10.40
0.97,-11.80,-1.18,-12.15,-3.10
0.65,-2.26,1.89,-3.34,5.99
0.08,2.76,3.50,2.20,10.50
0.07,2.50,2.43,2.18,10.44
0.06,2.68,4.25,2.17,10.40
0.81,-6.47,1.52,-7.17,2.10
0.73,-4.73,1.15,-5.14,4.18
0.24,2.88,4.26,1.84,10.64
0.64,-2.77,2.96,-3.14,6.19
0.76,-5.50,1.44,-5.98,3.33
0.17,2.82,3.32,2.12,10.73
0.59,-1.83,2.16,-2.21,7.10
0.86,-8.36,0.84,-8.68,0.54
0.88,-7.99,0.26,-9.10,0.10
0.48,0.65,4.52,-0.41,8.82
0.35,1.51,3.69,1.11,10.14
0.68,-3.73,3.01,-4.17,5.16
0.65,-3.18,2.05,-3.46,5.87
0.14,2.90,4.20,2.19,10.69
0.40,1.31,3.15,0.54,9.66
0.08,2.32,2.92,2.20,10.50
0.28,2.65,3.98,1.62,10.51
0.56,-1.32,3.03,-1.80,7.50
0.96,-10.64,0.04,-11.63,-2.56
0.51,0.23,3.90,-0.89,8.37
0.47,0.26,2.86,-0.29,8.93
0.45,0.39,3.03,-0.07,9.12
0.50,-0.10,2.93,-0.79,8.46
0.66,-2.93,2.82,-3.56,5.77
0.11,2.41,4.50,2.21,10.62
0.07,2.58,2.38,2.19,10.46
0.09,3.26,3.95,2.21,10.56
0.84,-7.59,1.12,-8.07,1.17
0.69,-3.67,1.67,-4.39,4.94
0.74,-4.37,2.81,-5.50,3.82
0.01,2.40,3.16,2.05,10.11
0.01,2.20,3.30,2.05,10.10
0.31,2.28,4.18,1.39,10.35
0.74,-5.14,1.51,-5.49,3.83
0.71,-3.92,2.24,-4.69,4.64
0.86,-7.66,0.80,-8.58,0.65
0.75,-4.72,1.98,-5.63,3.69
0.53,-0.35,3.98,-1.28,8.00
0.98,-11.76,-0.21,-12.31,-3.27
0.95,-10.41,0.43,-11.22,-2.12
0.40,1.73,3.32,0.53,9.65
0.60,-1.40,2.64,-2.53,6.79
0.09,2.87,3.29,2.21,10.55
0.58,-1.43,3.75,-2.13,7.18
0.04,2.52,3.42,2.12,10.27
0.05,3.04,4.10,2.16,10.36
0.64,-2.38,3.31,-3.30,6.03
0.44,0.80,3.31,0.06,9.25
0.56,-0.91,3.55,-1.68,7.62
0.76,-4.98,1.75,-5.88,3.42
0.62,-2.40,3.53,-2.84,6.49
0.44,0.85,3.59,0.13,9.30
0.94,-10.86,-0.65,-11.00,-1.89
0.92,-9.91,0.81,-10.41,-1.27
0.33,1.80,4.03,1.23,10.23
0.29,2.42,4.17,1.58,10.48
0.31,2.41,3.37,1.43,10.38
0.09,2.36,3.90,2.20,10.53
0.38,1.37,3.78,0.78,9.87
0.27,2.39,3.92,1.71,10.56
0.19,3.08,2.81,2.08,10.73
0.69,-3.11,2.68,-4.20,5.13
0.15,3.00,4.36,2.17,10.71
0.30,2.03,3.81,1.45,10.39
0.68,-3.54,3.05,-4.10,5.24
0.25,2.06,3.88,1.80,10.62
0.86,-8.14,1.47,-8.74,0.47
0.76,-5.26,1.90,-5.93,3.37
0.34,1.44,2.93,1.17,10.18
0.06,2.94,3.59,2.17,10.39
0.02,3.05,4.02,2.08,10.17
0.24,2.64,3.71,1.88,10.66
0.27,2.28,4.38,1.71,10.57
0.33,1.72,4.16,1.28,10.27
0.35,1.92,3.89,1.05,10.09
0.13,2.35,3.37,2.20,10.66
0.75,-4.62,2.47,-5.64,3.68
0.20,3.19,3.35,2.05,10.72
0.92,-9.93,0.58,-10.35,-1.21
0.38,1.42,4.48,0.75,9.84
0.39,1.01,3.45,0.68,9.78
0.01,3.00,2.53,2.04,10.08
0.68,-3.00,1.78,-3.99,5.34
0.00,2.75,3.65,2.01,10.03
0.29,1.83,2.97,1.55,10.46
0.07,2.53,3.90,2.18,10.43
0.82,-6.80,1.87,-7.54,1.72
0.88,-8.70,0.27,-9.28,-0.08
0.17,2.43,4.38,2.14,10.72
0.32,1.90,4.12,1.31,10.29
0.79,-6.05,0.85,-6.74,2.55
0.47,0.83,3.92,-0.32,8.90
0.30,2.18,3.41,1.46,10.40
0.50,-0.17,4.33,-0.74,8.51
0.01,2.42,3.80,2.03,10.06
0.18,3.06,4.25,2.09,10.73
0.05,3.14,3.67,2.15,10.34
0.63,-2.67,3.71,-2.99,6.34
0.45,0.94,3.60,-0.09,9.11
0.97,-11.29,-1.15,-12.06,-3.01
0.57,-0.79,3.04,-1.98,7.33
0.74,-5.33,1.37,-5.53,3.79
0.97,-11.47,-1.37,-11.93,-2.87
0.76,-5.01,2.10,-5.81,3.50
0.55,-0.87,3.87,-1.47,7.82
0.31,1.89,3.74,1.44,10.39
0.68,-2.81,3.15,-4.03,5.31
0.25,2.22,3.47,1.81,10.63
0.62,-1.97,1.93,-2.86,6.47
0.33,1.96,3.59,1.26,10.25
0.50,0.22,2.68,-0.78,8.47
0.32,1.67,3.91,1.36,10.33
0.49,-0.30,3.86,-0.60,8.64
0.69,-3.73,1.99,-4.23,5.11
0.34,2.12,4.41,1.14,10.16
0.02,2.75,2.78,2.08,10.18
0.04,2.41,3.71,2.13,10.30
0.16,2.94,3.18,2.16,10.72
0.68,-3.25,1.55,-4.00,5.34
0.41,1.60,4.67,0.46,9.59
0.64,-2.26,3.69,-3.30,6.03
0.33,2.30,3.04,1.28,10.27
0.07,2.99,3.30,2.19,10.47
0.05,2.97,3.12,2.16,10.36
0.26,2.17,4.36,1.75,10.59
0.54,-0.53,3.59,-1.33,7.95
0.72,-4.47,2.51,-5.00,4.33
0.83,-7.22,0.95,-7.84,1.41
0.38,1.18,3.61,0.75,9.84
0.26,2.60,3.82,1.76,10.60
0.08,2.28,4.41,2.20,10.50
0.34,1.89,4.56,1.14,10.16
0.84,-7.39,1.31,-7.94,1.31
0.68,-3.18,2.99,-3.96,5.37
0.95,-11.20,-0.10,-11.33,-2.24
0.81,-6.32,1.45,-7.35,1.91
0.91,-9.87,0.62,-10.16,-1.01
0.04,3.06,2.48,2.12,10.27
0.18,2.73,2.92,2.11,10.73
0.21,3.11,4.81,2.01,10.71
0.02,2.49,2.73,2.08,10.16
0.76,-4.75,1.87,-5.87,3.44
0.30,1.87,4.70,1.46,10.40
0.32,2.39,2.97,1.33,10.31
0.84,-7.70,1.26,-8.11,1.13
0.57,-1.01,3.99,-1.88,7.42
0.07,2.52,4.15,2.19,10.45
0.15,3.27,2.76,2.18,10.70
0.62,-1.58,3.76,-2.75,6.58
0.95,-10.84,-0.34,-11.45,-2.36
0.06,2.38,3.84,2.18,10.41
0.01,2.98,3.46,2.05,10.10
0.65,-2.32,1.85,-3.38,5.95
0.28,2.61,4.85,1.62,10.51
0.22,2.17,4.25,1.94,10.69
0.73,-4.08,2.92,-5.26,4.06
0.33,1.80,3.54,1.26,10.25
0.17,2.60,3.95,2.14,10.72
0.01,2.63,3.90,2.02,10.05
0.79,-5.58,1.43,-6.67,2.61
0.71,-4.58,1.64,-4.81,4.52
0.31,2.02,4.67,1.45,10.39
0.87,-8.15,-0.29,-8.78,0.43
0.78,-5.50,0.81,-6.35,2.95
0.16,2.90,3.20,2.15,10.72
0.03,2.13,2.41,2.09,10.20
0.62,-2.31,2.11,-2.78,6.55
0.80,-6.27,1.90,-6.99,2.29
0.81,-6.16,1.00,-7.26,2.01
0.44,0.58,4.20,0.02,9.21
0.78,-5.44,1.99,-6.56,2.74
0.56,-1.23,4.00,-1.70,7.60
0.64,-2.24,3.43,-3.28,6.05
0.19,2.60,3.06,2.09,10.73
0.79,-6.14,1.48,-6.83,2.46
0.56,-0.74,2.97,-1.76,7.54
0.69,-3.60,3.06,-4.30,5.03
0.16,3.21,3.25,2.15,10.72
0.16,2.63,4.16,2.16,10.71
0.17,2.94,4.54,2.14,10.72
0.22,2.50,4.05,1.97,10.70
0.55,-0.38,3.74,-1.51,7.78
0.45,0.43,2.67,-0.08,9.12
0.67,-2.89,1.90,-3.76,5.58
0.23,2.94,4.46,1.92,10.68
0.70,-3.44,1.99,-4.52,4.81
0.69,-3.64,2.66,-4.39,4.94
0.74,-4.59,2.41,-5.56,3.76
0.91,-9.35,-0.27,-10.23,-1.08
0.50,-0.31,3.55,-0.81,8.45
0.22,2.19,4.49,1.97,10.70
0.87,-8.15,0.28,-8.84,0.37
0.61,-2.34,2.99,-2.62,6.70
0.05,2.33,2.61,2.15,10.34
0.22,2.27,3.58,1.95,10.69
0.97,-11.39,-1.06,-11.85,-2.78
0.91,-9.33,-0.61,-10.16,-1.00
0.96,-10.63,-1.25,-11.58,-2.50
0.99,-12.53,-1.14,-12.58,-3.55
0.48,0.04,3.57,-0.47,8.76
0.17,2.42,4.07,2.13,10.72
0.60,-1.46,3.77,-2.48,6.84
0.18,2.46,4.04,2.11,10.73
0.16,2.80,3.32,2.16,10.71
0.67,-2.76,2.39,-3.75,5.58
0.64,-1.98,2.48,-3.14,6.19
0.37,2.09,2.96,0.90,9.97
0.91,-8.92,0.71,-10.01,-0.85
0.34,1.49,4.62,1.18,10.19
0.04,2.64,3.11,2.14,10.31
0.23,2.13,3.42,1.90,10.67
0.28,2.48,4.48,1.66,10.54
0.84,-7.94,1.78,-8.11,1.13
0.18,2.83,3.09,2.09,10.73
0.71,-4.30,2.17,-4.78,4.55
0.75,-4.84,2.57,-5.70,3.61
0.73,-4.13,2.51,-5.20,4.12
0.56,-1.31,2.89,-1.71,7.59
0.48,-0.07,3.05,-0.43,8.80
0.25,2.13,3.57,1.84,10.64
0.20,3.18,3.89,2.05,10.72
0.50,-0.26,4.21,-0.77,8.48
0.14,3.29,2.96,2.18,10.69
0.12,2.71,4.05,2.21,10.63
0.56,-0.88,3.92,-1.79,7.51
0.26,2.71,4.26,1.73,10.58
0.93,-9.73,0.88,-10.71,-1.59
0.94,-10.83,-0.96,-11.12,-2.01
0.25,2.08,3.01,1.83,10.64
0.38,1.08,3.68,0.76,9.85
0.54,-0.73,2.35,-1.45,7.84
0.70,-3.87,2.79,-4.61,4.72
0.13,3.17,3.79,2.20,10.66
0.33,1.52,3.58,1.28,10.27
0.06,2.50,4.10,2.18,10.41
0.23,2.28,3.69,1.91,10.68
0.44,0.35,4.30,0.03,9.21
0.54,-1.03,4.31,-1.37,7.92
0.47,0.41,2.62,-0.31,8.90
0.95,-11.06,-0.40,-11.35,-2.26
0.11,2.31,3.97,2.21,10.61
0.02,2.34,2.66,2.08,10.17
0.77,-5.56,1.05,-6.18,3.13
0.97,-11.30,0.13,-12.06,-3.00
0.35,1.47,3.15,1.07,10.10
0.70,-3.91,2.86,-4.52,4.81
0.68,-3.20,2.42,-3.96,5.37
0.86,-8.35,0.66,-8.75,0.47
0.23,3.05,2.93,1.92,10.68
0.43,1.03,3.52,0.23,9.39
0.82,-6.57,0.69,-7.59,1.67
0.19,2.95,4.02,2.07,10.72
0.42,0.94,4.51,0.36,9.51
0.48,0.60,4.39,-0.48,8.75
0.95,-10.35,-0.44,-11.32,-2.22
0.11,3.08,3.59,2.21,10.62
0.26,2.26,3.30,1.77,10.60
0.08,2.59,2.56,2.20,10.49
0.10,3.27,3.24,2.21,10.57
0.72,-4.74,2.50,-5.05,4.27
0.25,2.32,3.28,1.81,10.63
0.95,-10.40,0.57,-11.29,-2.19
0.08,2.77,4.19,2.19,10.48
0.07,2.26,2.95,2.19,10.47
0.42,1.22,4.68,0.35,9.50
0.50,0.28,3.27,-0.70,8.55
0.84,-7.36,1.37,-7.99,1.25
0.21,2.40,4.53,2.01,10.71
0.31,1.73,3.80,1.42,10.37
0.61,-1.91,2.85,-2.58,6.74
0.27,2.71,4.01,1.69,10.55
0.75,-5.28,1.38,-5.60,3.71
0.00,2.89,3.80,2.02,10.03
0.67,-3.54,2.86,-3.85,5.49
0.20,2.48,3.23,2.04,10.72
0.44,0.70,3.93,0.07,9.25
0.81,-6.46,0.99,-7.26,2.01
0.30,1.93,4.85,1.47,10.41
0.42,1.25,3.26,0.38,9.52
0.74,-4.91,1.70,-5.38,3.93
0.97,-11.19,0.18,-12.03,-2.98
0.84,-6.90,0.44,-8.02,1.22
0.09,3.03,3.17,2.21,10.54
0.61,-2.19,3.43,-2.63,6.69
0.79,-6.13,2.16,-6.57,2.72
0.79,-6.48,0.50,-6.75,2.53
0.90,-8.86,-0.01,-9.83,-0.66
0.74,-4.55,2.77,-5.52,3.79
0.12,2.89,2.92,2.21,10.65
0.65,-3.04,3.03,-3.40,5.93
0.24,3.02,4.75,1.86,10.65
0.46,0.74,3.55,-0.20,9.00
0.20,2.39,3.47,2.03,10.72
0.75,-5.19,1.03,-5.65,3.67
0.43,1.18,4.14,0.16,9.33
0.23,2.49,4.37,1.93,10.68
0.47,0.49,3.48,-0.28,8.93
0.61,-1.67,2.32,-2.60,6.72
0.30,1.85,3.48,1.49,10.42
0.06,2.42,3.26,2.18,10.42
0.79,-6.11,0.93,-6.79,2.49
0.40,0.90,2.82,0.56,9.68
0.35,1.34,4.26,1.08,10.11
0.97,-11.83,-1.01,-12.00,-2.94
0.77,-5.45,2.23,-6.23,3.07
0.66,-3.28,2.13,-3.71,5.62
0.23,2.57,3.49,1.93,10.68
0.57,-1.49,2.99,-1.96,7.34
0.69,-3.18,3.23,-4.26,5.07
0.84,-7.60,1.69,-8.14,1.10
0.83,-7.05,0.98,-7.76,1.50
0.78,-5.39,0.60,-6.55,2.74
0.06,2.67,3.96,2.17,10.40
0.58,-1.74,3.40,-2.06,7.25
0.98,-12.15,-0.38,-12.35,-3.31
0.30,2.64,4.29,1.46,10.40
0.81,-6.17,1.68,-7.15,2.13
0.57,-1.65,2.20,-1.96,7.35
0.21,2.20,3.59,1.99,10.71
0.61,-1.94,3.65,-2.55,6.78
0.75,-4.63,1.76,-5.66,3.65
0.64,-2.53,3.64,-3.30,6.03
0.83,-7.48,1.81,-7.68,1.58
0.59,-1.83,4.05,-2.27,7.04
0.28,2.76,4.50,1.61,10.51
0.70,-3.77,3.03,-4.46,4.87
0.34,1.96,4.00,1.13,10.15
0.31,2.26,4.20,1.40,10.36
0.37,2.07,4.47,0.89,9.96
0.05,3.06,3.06,2.16,10.35
0.03,2.69,3.23,2.09,10.19
0.33,1.68,3.59,1.21,10.21
0.13,2.88,2.73,2.20,10.66
0.72,-4.43,2.70,-5.07,4.25
0.86,-7.71,1.04,-8.58,0.65
0.85,-8.06,0.60,-8.32,0.91
0.93,-10.51,0.92,-10.62,-1.49
0.94,-10.84,-0.19,-10.91,-1.79
0.04,2.68,4.01,2.13,10.28
0.30,1.87,3.21,1.49,10.42
0.82,-6.91,0.68,-7.57,1.69
0.06,2.31,2.67,2.17,10.41
0.02,2.88,3.82,2.07,10.16
0.02,2.30,2.97,2.08,10.18
0.20,2.48,3.41,2.05,10.72
0.95,-10.52,-1.21,-11.40,-2.31
0.56,-0.55,2.98,-1.70,7.60
0.17,3.27,4.35,2.13,10.72
0.43,1.21,4.51,0.26,9.42
0.14,3.21,2.69,2.19,10.68
0.50,0.39,2.78,-0.82,8.43
0.31,1.77,3.31,1.39,10.35
0.05,2.46,3.58,2.16,10.37
0.36,2.01,4.28,1.01,10.05
0.51,0.21,3.80,-0.84,8.42
0.51,0.27,3.56,-0.83,8.42
0.26,2.77,3.66,1.76,10.59
0.88,-8.34,-0.42,-9.27,-0.08
0.52,-0.62,2.43,-1.12,8.15
0.29,1.76,4.59,1.53,10.45
0.58,-0.90,2.44,-2.12,7.19
0.40,1.21,3.62,0.52,9.65
0.19,3.15,4.72,2.06,10.72
1.00,-12.59,-1.72,-12.83,-3.82
0.96,-11.62,-1.21,-11.74,-2.67
0.18,2.44,4.65,2.10,10.73
0.57,-1.00,3.78,-1.82,7.48
0.69,-3.11,1.52,-4.24,5.09
0.43,0.84,3.45,0.21,9.37
0.49,-0.02,3.02,-0.62,8.62
0.79,-6.26,1.11,-6.58,2.71
0.45,0.81,3.06,-0.10,9.10
0.72,-4.81,2.14,-5.05,4.28
0.10,2.85,2.61,2.21,10.57
0.80,-6.57,1.40,-6.91,2.37
0.74,-4.98,2.07,-5.51,3.81
0.50,-0.39,4.13,-0.73,8.52
0.10,2.50,4.44,2.21,10.57
0.75,-4.86,2.28,-5.80,3.51
0.73,-4.57,2.12,-5.20,4.12
0.83,-6.68,1.15,-7.68,1.57
0.53,-0.54,3.19,-1.26,8.02
0.40,1.11,3.11,0.52,9.64
0.73,-4.99,1.39,-5.21,4.11
0.26,2.79,3.97,1.75,10.59
0.19,2.93,4.46,2.07,10.73
0.75,-4.58,2.01,-5.60,3.72
0.73,-4.30,1.63,-5.27,4.05
0.28,2.79,3.92,1.64,10.52
0.47,0.72,3.95,-0.28,8.93
0.87,-7.92,0.31,-8.94,0.27
0.15,2.76,3.10,2.17,10.71
0.92,-9.87,0.18,-10.28,-1.13
0.01,2.67,3.53,2.03,10.06
0.24,2.38,3.83,1.88,10.66
0.92,-9.94,0.03,-10.42,-1.28
0.08,2.78,3.18,2.20,10.49
0.93,-9.81,0.22,-10.78,-1.66
1.00,-11.92,-0.92,-12.85,-3.84
0.71,-3.53,2.77,-4.69,4.64
0.74,-4.45,2.02,-5.49,3.83
0.13,2.64,2.88,2.19,10.68
0.60,-2.13,2.95,-2.39,6.93
0.29,2.59,4.01,1.57,10.48
0.74,-4.91,1.31,-5.42,3.90
0.51,0.39,3.38,-0.84,8.42
0.23,2.59,3.00,1.92,10.68
0.18,2.69,3.76,2.11,10.73
0.98,-12.04,-0.17,-12.47,-3.44
0.59,-1.66,3.98,-2.33,6.98
0.98,-11.95,-0.74,-12.28,-3.24
0.42,1.46,4.33,0.29,9.45
0.13,2.62,3.97,2.20,10.67
0.00,2.99,3.23,2.00,10.01
0.77,-6.00,2.59,-6.24,3.06
0.96,-11.10,0.22,-11.66,-2.58
0.56,-1.15,3.18,-1.69,7.61
0.52,-0.01,3.07,-1.00,8.26
0.13,3.23,2.85,2.20,10.66
0.16,3.13,3.84,2.15,10.72
0.39,1.12,4.43,0.71,9.80
0.96,-11.11,0.34,-11.53,-2.45
0.40,1.38,3.51,0.55,9.67
0.66,-2.47,2.83,-3.61,5.72
0.08,2.35,2.63,2.20,10.52
0.05,3.12,3.36,2.15,10.33
0.76,-5.48,1.15,-5.83,3.48
0.16,2.90,4.16,2.15,10.72
0.72,-4.12,2.22,-5.01,4.32
0.89,-9.08,1.29,-9.49,-0.31
0.53,-0.58,2.83,-1.14,8.13
0.54,-0.60,3.97,-1.39,7.89
0.72,-4.54,1.85,-4.91,4.41
0.27,2.74,4.48,1.71,10.57
0.31,1.79,4.26,1.40,10.36
0.81,-6.61,0.74,-7.18,2.09
0.91,-9.63,1.08,-10.01,-0.85
0.14,2.82,3.39,2.18,10.70
0.23,2.69,3.75,1.92,10.68
0.05,2.76,4.10,2.15,10.34
0.45,0.47,3.15,0.01,9.19
0.08,2.64,3.15,2.20,10.51
0.16,2.81,4.31,2.16,10.72
0.15,3.11,4.28,2.18,10.70
0.30,1.70,4.82,1.46,10.40
0.72,-4.13,2.93,-4.94,4.38
0.30,2.59,3.18,1.49,10.42
0.46,0.97,3.43,-0.22,8.99
1.00,-12.45,-0.46,-12.97,-3.97
0.97,-11.57,-0.18,-11.86,-2.80
0.65,-2.91,1.89,-3.33,6.00
0.88,-8.30,0.23,-9.31,-0.12
0.88,-8.60,0.67,-9.12,0.08
0.48,0.48,4.51,-0.47,8.76
0.19,3.21,4.31,2.08,10.73
0.75,-5.35,1.17,-5.81,3.50
0.59,-1.12,2.69,-2.24,7.07
0.34,1.76,4.04,1.18,10.19
0.97,-11.61,-0.85,-11.92,-2.86
0.65,-2.57,2.00,-3.51,5.82
0.84,-7.77,0.80,-8.14,1.10
0.04,2.93,2.28,2.12,10.26
0.47,-0.09,3.08,-0.35,8.87
0.82,-7.05,1.78,-7.56,1.70
0.09,3.19,3.77,2.21,10.55
0.94,-10.69,-0.00,-11.05,-1.94
0.94,-10.76,-1.21,-11.18,-2.08
0.44,0.78,3.30,0.12,9.30
0.38,1.52,4.74,0.77,9.86
0.51,-0.46,2.81,-0.86,8.40
0.23,2.75,2.95,1.92,10.68
0.55,-1.23,3.50,-1.49,7.80
0.52,-0.43,3.52,-1.08,8.19
0.81,-7.05,1.11,-7.22,2.05
0.93,-10.62,0.49,-10.71,-1.58
0.52,-0.15,2.97,-1.02,8.25
0.38,1.83,3.23,0.78,9.87
0.60,-2.00,2.01,-2.42,6.90
0.41,1.16,4.10,0.45,9.58
0.42,0.99,3.70,0.32,9.48
0.20,2.55,3.76,2.02,10.72
0.52,-0.76,3.39,-1.05,8.22
0.42,0.84,3.09,0.28,9.44
0.27,2.12,4.27,1.70,10.56
0.52,0.07,2.64,-1.13,8.14
0.13,2.68,3.46,2.20,10.66
0.69,-3.64,2.66,-4.25,5.08
0.37,1.94,4.56,0.85,9.92
0.61,-2.39,2.76,-2.72,6.61
0.13,2.53,4.44,2.20,10.67
0.01,2.07,3.64,2.05,10.10
0.00,2.62,2.12,2.01,10.01
0.13,3.22,3.61,2.20,10.67
0.96,-10.67,0.05,-11.53,-2.45
0.56,-1.34,4.17,-1.76,7.54
0.57,-1.33,2.25,-1.85,7.46
0.19,3.07,3.84,2.09,10.73
0.44,1.13,4.06,0.08,9.26
0.13,3.21,4.56,2.20,10.67
0.84,-7.41,-0.05,-8.16,1.08
0.31,1.63,4.87,1.38,10.34
0.41,1.56,3.47,0.42,9.56
0.56,-0.70,3.81,-1.71,7.59
0.84,-7.44,1.79,-8.12,1.13
0.95,-10.85,-1.20,-11.49,-2.40
0.67,-3.43,2.89,-3.85,5.48
0.38,1.74,3.33,0.77,9.86
