x1, x2,y
0.66,-0.34,1
0.62,0.41,1
-0.91,-0.48,-1
-0.8,-0.12,1
-0.29,0.73,1
-0.67,-0.41,1
-0.04,0.75,1
0.29,-0.71,1
0.64,0.35,1
-0.59,-0.41,1
0.23,-1,-1
0.72,0.28,1
-0.81,-0.27,1
0.41,-0.98,-1
0.49,-0.55,1
-0.47,0.62,1
0.06,0.75,1
0.18,0.97,-1
0.5,-0.8,-1
0.75,-0.11,1
0.69,-0.45,1
0.18,0.84,1
-0.02,1.02,-1
0.85,0.16,1
0.26,0.76,1
0.55,-0.52,1
0.77,-0.23,1
0.14,0.77,1
0.42,-0.94,-1
0.59,-0.38,1
-0.34,-0.7,1
0.55,0.56,1
0.07,-0.84,1
-0.81,-0.04,1
0.19,-1.06,-1
-0.77,0.07,1
-0.23,1.07,-1
-0.83,-0.17,1
0.32,-0.77,1
0.77,0.35,1
0.28,-0.86,-1
-0.58,0.51,1
0.36,-0.73,1
0.76,0.03,1
-0.26,-0.94,-1
0.05,1,-1
0.33,0.94,-1
-1.01,0.14,-1
-0.09,-0.93,-1
